rsid	name	type	color	channel_id	enabled	channel_breakdown	override_last_touch_channel
sirooplive	Paid Search G. Shopping	online	0F59A9	1	TRUE	0	FALSE
sirooplive	Organic Search	online	E07804	2	TRUE	0	FALSE
sirooplive	Direct	online	609D09	3	TRUE	0	TRUE
sirooplive	Social Media Non-Paid	online	D12112	4	TRUE	0	FALSE
sirooplive	Referring Domains	online	813AA7	5	TRUE	0	FALSE
sirooplive	Social Media Remarketing	online	056F73	6	TRUE	0	FALSE
sirooplive	Mail Other	online	EDBD0C	7	TRUE	0	FALSE
sirooplive	Social Media Campaigns	online	B9256F	8	FALSE	0	FALSE
sirooplive	Paid Search Brand	online	2F2D9D	9	TRUE	0	FALSE
sirooplive	Paid Search Other	online	9F4F1A	10	TRUE	0	FALSE
sirooplive	Display Remarketing	online	507609	11	TRUE	0	FALSE
sirooplive	Social Media Prospecting	online	922D3D	12	TRUE	0	FALSE
sirooplive	DBM Prospecting	online	592993	13	FALSE	0	FALSE
sirooplive	Display Prospecting	online	695153	14	TRUE	0	FALSE
sirooplive	Mail Flaschenpost	online	C1893E	15	TRUE	0	FALSE
sirooplive	Mail LifeCycle	online	4A86F8	16	TRUE	0	FALSE
sirooplive	Digital Documents	online	FF954E	17	FALSE	0	FALSE
sirooplive	Price Comparison	offline	4ADC60	18	TRUE	0	FALSE
sirooplive	Other Offline Channel	offline	A667E9	19	FALSE	0	FALSE
sirooplive	Other Campaign	online	14AD85	20	TRUE	0	FALSE
sirooplive	Editorial	online	FFF186	21	FALSE	0	FALSE
sirooplive	Other - unidentified	online	F9A9F9	22	TRUE	0	TRUE
sirooplive	Organic Search Brand	online	222143	23	TRUE	0	FALSE
sirooplive	SMS LifeCycle	online	393020	24	TRUE	0	FALSE
sirooplive	SMS Other	online	19371C	25	TRUE	0	FALSE
